model,beta,lr,weight_decay,seed,num_neurons,num_committees,size_committee,accuracy
Committee,1,0.01,1e-05,0,50,30,5,0.129
Committee,1,0.01,1e-05,50,50,30,5,0.2003
Committee,1,0.01,1e-05,150,50,30,5,0.1359
Committee,1,0.01,1e-05,300,50,30,5,0.0896
Committee,1,0.01,1e-05,500,50,30,5,0.0953
Committee,1,0.01,1e-05,1000,50,30,5,0.071
Committee,1,0.01,1e-05,1500,50,30,5,0.1006
Committee,1,0.01,1e-05,2000,50,30,5,0.0421
Committee,1,0.01,1e-05,2500,50,30,5,0.1281
Committee,1,0.01,1e-05,3000,50,30,5,0.1136
